Fecha,Cierre
20/05/2020,4.63
21/05/2020,4.36
22/05/2020,4.29
25/05/2020,4.07
26/05/2020,3.94
27/05/2020,4.29
28/05/2020,4.15
29/05/2020,4.09
01/06/2020,4.14
02/06/2020,4.29
03/06/2020,4.5
04/06/2020,4.89
05/06/2020,4.93
08/06/2020,4.93
09/06/2020,4.78
10/06/2020,4.73
11/06/2020,4.43
12/06/2020,4.73
15/06/2020,4.73
16/06/2020,4.83
17/06/2020,4.93
18/06/2020,4.93
19/06/2020,5.4
22/06/2020,5.32
23/06/2020,5.32
24/06/2020,5.41
25/06/2020,5.34
26/06/2020,5.02
29/06/2020,5.12
30/06/2020,5.1
01/07/2020,4.93
02/07/2020,4.92
03/07/2020,4.91
06/07/2020,4.9
07/07/2020,4.85
08/07/2020,4.89
09/07/2020,4.89
10/07/2020,4.86
13/07/2020,4.89
14/07/2020,4.89
15/07/2020,4.73
16/07/2020,4.8
17/07/2020,4.82
20/07/2020,4.73
21/07/2020,4.73
22/07/2020,4.83
23/07/2020,4.82
24/07/2020,4.73
27/07/2020,4.79
28/07/2020,4.82
29/07/2020,4.83
30/07/2020,4.71
31/07/2020,4.74
03/08/2020,4.76
04/08/2020,4.75
05/08/2020,4.73
06/08/2020,4.7
07/08/2020,4.7
10/08/2020,4.71
11/08/2020,4.81
12/08/2020,4.83
13/08/2020,4.74
14/08/2020,4.82
17/08/2020,4.83
18/08/2020,4.83
19/08/2020,4.8
20/08/2020,4.77
21/08/2020,4.75
25/08/2020,4.73
26/08/2020,4.88
27/08/2020,4.77
28/08/2020,4.78
31/08/2020,4.68
01/09/2020,4.77
02/09/2020,4.75
03/09/2020,4.68
04/09/2020,4.56
07/09/2020,4.59
08/09/2020,4.59
09/09/2020,4.54
10/09/2020,4.48
11/09/2020,4.56
14/09/2020,4.57
15/09/2020,4.53
17/09/2020,4.53
18/09/2020,4.57
21/09/2020,4.63
22/09/2020,4.72
23/09/2020,4.69
24/09/2020,4.84
25/09/2020,4.81
28/09/2020,4.66
29/09/2020,4.69
05/10/2020,4.72
06/10/2020,4.78
07/10/2020,4.76
12/10/2020,4.72
13/10/2020,4.82
14/10/2020,4.69
16/10/2020,4.76
19/10/2020,4.76
21/10/2020,4.68
26/10/2020,4.68
27/10/2020,4.68
28/10/2020,4.75
29/10/2020,4.75
30/10/2020,4.75
03/11/2020,4.47
04/11/2020,4.47
06/11/2020,4.47
09/11/2020,4.47
13/11/2020,4.41
18/11/2020,4.79
19/11/2020,4.63
20/11/2020,4.77
24/11/2020,4.95
25/11/2020,4.96
26/11/2020,5
27/11/2020,4.99
30/11/2020,5.58
01/12/2020,5.51
02/12/2020,5.57
03/12/2020,5.22
07/12/2020,5
08/12/2020,5.02
11/12/2020,4.78
14/12/2020,4.87
16/12/2020,4.89
17/12/2020,4.89
18/12/2020,4.89
21/12/2020,4.87
22/12/2020,4.86
23/12/2020,4.76
28/12/2020,4.77
29/12/2020,4.87
30/12/2020,4.97
31/12/2020,4.87
04/01/2021,4.98
11/01/2021,5.12
12/01/2021,5.27
13/01/2021,5.17
15/01/2021,5.17
18/01/2021,5.37
20/01/2021,4.98
25/01/2021,4.78
26/01/2021,4.65
27/01/2021,4.58
28/01/2021,4.68
29/01/2021,4.98
02/02/2021,4.98
03/02/2021,4.77
04/02/2021,4.56
05/02/2021,4.68
08/02/2021,4.8
09/02/2021,4.78
10/02/2021,4.78
11/02/2021,4.59
12/02/2021,4.58
15/02/2021,4.58
16/02/2021,4.48
17/02/2021,4.57
18/02/2021,4.57
19/02/2021,4.58
22/02/2021,4.58
23/02/2021,4.58
24/02/2021,4.48
25/02/2021,4.58
26/02/2021,4.56
01/03/2021,4.57
02/03/2021,4.38
03/03/2021,4.39
04/03/2021,4.29
05/03/2021,4.28
08/03/2021,4.21
09/03/2021,4.3
10/03/2021,4.33
11/03/2021,4.32
12/03/2021,4.26
16/03/2021,4.2
17/03/2021,4.15
18/03/2021,4.14
19/03/2021,4.26
22/03/2021,4.16
23/03/2021,4.38
24/03/2021,4.38
25/03/2021,4.26
30/03/2021,4.29
06/04/2021,4.33
07/04/2021,4.25
08/04/2021,4.34
12/04/2021,4.34
15/04/2021,4.34
20/04/2021,4.19
21/04/2021,4.16
23/04/2021,4.05
26/04/2021,4.09
28/04/2021,4.34
29/04/2021,4.21
05/05/2021,4.18
06/05/2021,4.08
