Fecha,Cierre
20/05/2020,4.1
21/05/2020,3.75
22/05/2020,3.83
25/05/2020,4.05
26/05/2020,3.85
27/05/2020,3.95
28/05/2020,4.08
29/05/2020,4.1
01/06/2020,4.15
02/06/2020,4.25
03/06/2020,4.31
04/06/2020,4.13
05/06/2020,4.23
08/06/2020,4.31
09/06/2020,4.17
10/06/2020,3.94
11/06/2020,3.89
12/06/2020,3.93
15/06/2020,3.92
16/06/2020,4.05
17/06/2020,4.02
18/06/2020,4.03
19/06/2020,4.16
22/06/2020,4.35
23/06/2020,4.46
24/06/2020,4.47
25/06/2020,4.69
26/06/2020,4.66
29/06/2020,4.68
30/06/2020,4.65
01/07/2020,4.52
02/07/2020,4.5
03/07/2020,4.5
06/07/2020,4.33
07/07/2020,4.5
08/07/2020,4.49
09/07/2020,4.45
10/07/2020,4.35
13/07/2020,4.3
14/07/2020,4.2
15/07/2020,4.24
16/07/2020,4.32
17/07/2020,4.31
20/07/2020,4.24
21/07/2020,4.39
22/07/2020,4.35
23/07/2020,4.36
24/07/2020,4.39
27/07/2020,4.35
28/07/2020,4.4
29/07/2020,4.33
30/07/2020,4.36
31/07/2020,4.35
03/08/2020,4.25
04/08/2020,4.26
05/08/2020,4.27
06/08/2020,4.34
07/08/2020,4.27
10/08/2020,4.27
11/08/2020,4.44
12/08/2020,4.32
13/08/2020,4.4
14/08/2020,4.46
17/08/2020,4.44
18/08/2020,4.5
19/08/2020,4.61
20/08/2020,4.65
21/08/2020,4.59
24/08/2020,4.6
25/08/2020,4.62
26/08/2020,4.64
27/08/2020,4.6
28/08/2020,4.6
31/08/2020,4.59
01/09/2020,4.6
02/09/2020,4.6
03/09/2020,4.55
04/09/2020,4.5
07/09/2020,4.43
08/09/2020,4.46
09/09/2020,4.39
10/09/2020,4.39
11/09/2020,4.39
14/09/2020,4.31
15/09/2020,4.19
17/09/2020,4.21
18/09/2020,4.03
21/09/2020,4.12
22/09/2020,4
23/09/2020,4.1
24/09/2020,4.24
25/09/2020,4.35
28/09/2020,4.38
29/09/2020,4.45
30/09/2020,4.49
01/10/2020,4.5
02/10/2020,4.5
05/10/2020,4.45
06/10/2020,4.43
07/10/2020,4.54
08/10/2020,4.5
09/10/2020,4.53
12/10/2020,4.52
13/10/2020,4.56
14/10/2020,4.51
15/10/2020,4.53
16/10/2020,4.55
19/10/2020,4.55
20/10/2020,4.58
21/10/2020,4.53
22/10/2020,4.6
23/10/2020,4.59
26/10/2020,4.43
27/10/2020,4.46
28/10/2020,4.4
29/10/2020,4.41
30/10/2020,4.53
03/11/2020,4.34
04/11/2020,4.35
05/11/2020,4.4
06/11/2020,4.3
09/11/2020,4.36
10/11/2020,4.45
11/11/2020,4.42
12/11/2020,4.28
13/11/2020,4.34
17/11/2020,4.43
18/11/2020,4.46
19/11/2020,4.43
20/11/2020,4.42
23/11/2020,4.35
24/11/2020,4.24
25/11/2020,4.41
26/11/2020,4.4
