Fecha,Cierre
20/05/2020,10.14
21/05/2020,10.12
22/05/2020,10.3
25/05/2020,10.53
26/05/2020,10.4
27/05/2020,10.25
28/05/2020,10.12
29/05/2020,10.09
01/06/2020,10.34
02/06/2020,10.38
03/06/2020,10.35
04/06/2020,10.35
05/06/2020,10.29
08/06/2020,10.3
09/06/2020,10.12
10/06/2020,10.1
11/06/2020,10.09
12/06/2020,10.18
15/06/2020,10.16
16/06/2020,10.2
17/06/2020,10.09
18/06/2020,10.08
19/06/2020,9.94
22/06/2020,10.05
23/06/2020,9.86
24/06/2020,9.96
25/06/2020,9.98
26/06/2020,9.98
29/06/2020,9.93
30/06/2020,9.84
01/07/2020,9.93
02/07/2020,9.96
03/07/2020,9.96
06/07/2020,9.93
07/07/2020,9.93
08/07/2020,9.9
09/07/2020,9.8
10/07/2020,9.7
13/07/2020,9.6
14/07/2020,9.6
15/07/2020,9.58
16/07/2020,9.55
17/07/2020,9.44
20/07/2020,9.4
21/07/2020,9.36
22/07/2020,9.38
23/07/2020,9.55
24/07/2020,9.71
27/07/2020,9.9
28/07/2020,10.03
29/07/2020,9.9
30/07/2020,10.08
31/07/2020,9.98
03/08/2020,10.1
04/08/2020,10.03
05/08/2020,9.98
06/08/2020,10
07/08/2020,9.98
10/08/2020,10.01
11/08/2020,10.2
12/08/2020,9.93
13/08/2020,10.02
14/08/2020,10.14
17/08/2020,9.92
18/08/2020,9.99
19/08/2020,10.08
20/08/2020,10.07
21/08/2020,9.98
24/08/2020,9.98
25/08/2020,10
26/08/2020,9.94
27/08/2020,9.98
28/08/2020,9.93
31/08/2020,9.97
01/09/2020,9.95
02/09/2020,9.98
03/09/2020,9.89
04/09/2020,9.93
07/09/2020,9.99
08/09/2020,9.93
09/09/2020,9.91
10/09/2020,10.05
11/09/2020,10.09
14/09/2020,10
15/09/2020,10
17/09/2020,9.9
18/09/2020,9.84
21/09/2020,9.8
22/09/2020,9.68
23/09/2020,9.98
24/09/2020,9.93
25/09/2020,10
28/09/2020,10.01
29/09/2020,10
30/09/2020,10
01/10/2020,10
02/10/2020,10.19
05/10/2020,10.38
06/10/2020,10.29
07/10/2020,10.52
08/10/2020,10.37
09/10/2020,10.19
12/10/2020,10.26
13/10/2020,10.02
14/10/2020,10.09
15/10/2020,9.96
16/10/2020,10
19/10/2020,10
20/10/2020,9.94
21/10/2020,9.95
22/10/2020,10.1
23/10/2020,10.1
26/10/2020,10.17
27/10/2020,10.15
28/10/2020,10.01
29/10/2020,10.03
30/10/2020,10.56
03/11/2020,10.2
04/11/2020,10.22
05/11/2020,10.17
06/11/2020,10.34
09/11/2020,10.41
10/11/2020,10.41
11/11/2020,10.59
12/11/2020,10.88
13/11/2020,10.85
17/11/2020,10.95
18/11/2020,11.1
19/11/2020,11
20/11/2020,11.04
23/11/2020,11.35
24/11/2020,11.7
25/11/2020,11.54
26/11/2020,11.59
27/11/2020,11.57
30/11/2020,11.64
01/12/2020,11.77
02/12/2020,11.71
03/12/2020,11.65
04/12/2020,11.6
07/12/2020,11.5
08/12/2020,11.44
09/12/2020,11.44
10/12/2020,11.55
11/12/2020,11.42
14/12/2020,11.64
15/12/2020,11.55
16/12/2020,11.58
17/12/2020,11.65
18/12/2020,11.67
21/12/2020,11.52
22/12/2020,11.72
23/12/2020,11.55
24/12/2020,11.14
28/12/2020,11.42
29/12/2020,11.31
30/12/2020,11.49
31/12/2020,11.57
04/01/2021,11.6
05/01/2021,11.7
06/01/2021,11.74
07/01/2021,11.83
08/01/2021,11.69
11/01/2021,11.66
12/01/2021,11.65
13/01/2021,11.68
14/01/2021,11.65
15/01/2021,11.66
18/01/2021,11.7
19/01/2021,11.6
20/01/2021,11.47
21/01/2021,11.29
22/01/2021,11.3
25/01/2021,11.41
26/01/2021,11.2
27/01/2021,11.46
28/01/2021,11.39
29/01/2021,11.46
02/02/2021,11.26
03/02/2021,11.24
04/02/2021,11.24
05/02/2021,11.2
08/02/2021,11.2
09/02/2021,11.13
10/02/2021,11.15
11/02/2021,11.04
12/02/2021,11.05
15/02/2021,11.1
16/02/2021,11.35
17/02/2021,11.08
18/02/2021,11.22
19/02/2021,11.21
22/02/2021,11.29
23/02/2021,11.6
24/02/2021,11.47
25/02/2021,11.5
26/02/2021,11.64
01/03/2021,11.44
02/03/2021,11.47
03/03/2021,11.48
04/03/2021,11.26
05/03/2021,11.43
08/03/2021,11.39
09/03/2021,11.39
10/03/2021,11.38
11/03/2021,11.4
12/03/2021,11.45
16/03/2021,11.38
17/03/2021,11.34
18/03/2021,11.43
19/03/2021,11.43
22/03/2021,11.43
23/03/2021,11.6
24/03/2021,11.64
25/03/2021,11.71
26/03/2021,11.79
29/03/2021,11.54
30/03/2021,11.61
31/03/2021,11.43
05/04/2021,11.53
06/04/2021,11.52
07/04/2021,11.49
08/04/2021,11.5
09/04/2021,11.64
12/04/2021,11.64
13/04/2021,11.47
14/04/2021,11.5
15/04/2021,11.59
16/04/2021,11.57
19/04/2021,11.58
20/04/2021,11.59
21/04/2021,11.47
22/04/2021,11.61
23/04/2021,11.44
26/04/2021,11.51
27/04/2021,11.59
28/04/2021,11.61
29/04/2021,11.56
30/04/2021,11.59
03/05/2021,11.67
04/05/2021,11.67
05/05/2021,11.77
06/05/2021,11.75
07/05/2021,11.67
10/05/2021,11.72
11/05/2021,11.72
12/05/2021,11.66
13/05/2021,11.62
14/05/2021,11.73
17/05/2021,11.85
18/05/2021,11.95
19/05/2021,11.67
20/05/2021,11.65
21/05/2021,11.64
24/05/2021,11.58
