Fecha,Cierre
20/05/2020,18.31
21/05/2020,18
22/05/2020,17.98
25/05/2020,17.81
26/05/2020,17.34
27/05/2020,17.66
28/05/2020,17.43
29/05/2020,16.91
01/06/2020,17.79
02/06/2020,18.39
03/06/2020,19.74
04/06/2020,20.09
05/06/2020,21.2
08/06/2020,22.18
09/06/2020,21.46
10/06/2020,20.98
11/06/2020,20.24
12/06/2020,20.37
15/06/2020,19.72
16/06/2020,20.07
17/06/2020,19.13
18/06/2020,18.69
19/06/2020,19.09
22/06/2020,19.14
23/06/2020,19.71
24/06/2020,19.91
25/06/2020,19.26
26/06/2020,18.38
29/06/2020,18.25
30/06/2020,18.25
01/07/2020,18.02
02/07/2020,18.07
03/07/2020,18.45
06/07/2020,18.28
07/07/2020,18.01
08/07/2020,18.2
09/07/2020,18
10/07/2020,18.07
13/07/2020,17.99
14/07/2020,17.85
15/07/2020,17.3
16/07/2020,17.12
17/07/2020,17.4
20/07/2020,16.96
21/07/2020,16.7
22/07/2020,17.4
23/07/2020,17.85
24/07/2020,17.78
27/07/2020,17.09
28/07/2020,17.46
29/07/2020,17.54
30/07/2020,17.82
31/07/2020,17.95
03/08/2020,18.02
04/08/2020,18.43
05/08/2020,18.44
06/08/2020,18.3
07/08/2020,18.21
10/08/2020,18.52
11/08/2020,18.73
12/08/2020,18.92
13/08/2020,18.91
14/08/2020,19.02
17/08/2020,18.94
18/08/2020,18.51
19/08/2020,17.96
20/08/2020,17.36
21/08/2020,17.51
24/08/2020,17.56
25/08/2020,17.63
26/08/2020,17.63
27/08/2020,17.53
28/08/2020,17.38
31/08/2020,17.08
01/09/2020,17.4
02/09/2020,17.1
03/09/2020,16.64
04/09/2020,16.45
07/09/2020,16.92
08/09/2020,16.47
09/09/2020,16.59
10/09/2020,16.33
11/09/2020,16.32
14/09/2020,16.67
15/09/2020,16.61
17/09/2020,16.39
18/09/2020,16.37
21/09/2020,16.25
22/09/2020,16.44
23/09/2020,16.11
24/09/2020,16.85
25/09/2020,17.21
28/09/2020,17.2
29/09/2020,17.3
30/09/2020,17.49
01/10/2020,17.21
02/10/2020,17.4
05/10/2020,17.31
06/10/2020,17.17
07/10/2020,17.01
08/10/2020,17.08
09/10/2020,17.19
12/10/2020,17.14
13/10/2020,17.15
14/10/2020,16.93
15/10/2020,17.02
16/10/2020,16.87
19/10/2020,16.87
20/10/2020,17.44
21/10/2020,17.49
22/10/2020,17.69
23/10/2020,17.31
26/10/2020,17.05
27/10/2020,16.86
28/10/2020,16.25
29/10/2020,16.13
30/10/2020,16.07
03/11/2020,16.08
04/11/2020,16.01
05/11/2020,16.19
06/11/2020,16.24
09/11/2020,17.36
10/11/2020,17.36
11/11/2020,17.99
12/11/2020,17.61
13/11/2020,17.83
17/11/2020,18.85
18/11/2020,19.47
19/11/2020,19.5
20/11/2020,19
23/11/2020,18.42
24/11/2020,19.69
25/11/2020,20.23
26/11/2020,20
27/11/2020,19.92
30/11/2020,20.1
01/12/2020,20.65
02/12/2020,20.15
03/12/2020,20.31
04/12/2020,20.6
07/12/2020,20.38
08/12/2020,20.45
09/12/2020,20.65
10/12/2020,22.21
11/12/2020,22.43
14/12/2020,22.56
15/12/2020,22.29
16/12/2020,22.33
17/12/2020,22.8
18/12/2020,21.79
21/12/2020,21.33
22/12/2020,21.89
23/12/2020,22.4
24/12/2020,22.39
28/12/2020,22.35
29/12/2020,22.89
30/12/2020,22.89
31/12/2020,22.5
04/01/2021,22.71
05/01/2021,22.66
06/01/2021,23.41
07/01/2021,23.39
08/01/2021,23.64
11/01/2021,23.6
12/01/2021,23.07
13/01/2021,22.45
14/01/2021,21.94
15/01/2021,22.61
18/01/2021,22.51
19/01/2021,22.26
20/01/2021,22.22
21/01/2021,22.08
22/01/2021,21.98
25/01/2021,22.07
26/01/2021,22.67
28/01/2021,22.8
29/01/2021,22.89
02/02/2021,23.82
03/02/2021,23.89
04/02/2021,24
05/02/2021,24.11
08/02/2021,23.51
09/02/2021,23.91
10/02/2021,23.86
11/02/2021,23.91
12/02/2021,23.91
15/02/2021,23.95
16/02/2021,24.2
17/02/2021,24.14
18/02/2021,24
19/02/2021,23.98
22/02/2021,23.81
23/02/2021,23.7
24/02/2021,23.74
25/02/2021,23.55
26/02/2021,23.66
01/03/2021,24.1
02/03/2021,24.13
03/03/2021,24.37
04/03/2021,24.49
05/03/2021,24.32
08/03/2021,24.49
09/03/2021,24.15
10/03/2021,24
11/03/2021,23.88
12/03/2021,23.99
16/03/2021,24.37
17/03/2021,24.51
18/03/2021,24.41
19/03/2021,23.87
22/03/2021,23.71
23/03/2021,23.68
24/03/2021,23.66
25/03/2021,23.55
26/03/2021,23.61
29/03/2021,23.87
30/03/2021,24.32
31/03/2021,23.89
05/04/2021,23.73
06/04/2021,24.13
07/04/2021,24.29
08/04/2021,25.24
09/04/2021,24.14
12/04/2021,24.04
13/04/2021,24.71
14/04/2021,24.39
15/04/2021,24.94
16/04/2021,24.99
19/04/2021,24.43
20/04/2021,24.49
21/04/2021,24.77
22/04/2021,24.96
23/04/2021,24.99
26/04/2021,24.92
27/04/2021,24.84
28/04/2021,24.79
29/04/2021,25.32
30/04/2021,25.01
03/05/2021,24.91
04/05/2021,24.61
