"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"21.05.2025","668.46","659.76","671.74","656.92","487.76K","1.83%"
"20.05.2025","656.47","669.44","676.80","654.00","293.64K","-1.94%"
"19.05.2025","669.44","677.00","677.00","664.28","226.95K","-0.72%"
"16.05.2025","674.30","685.00","685.00","670.00","201.90K","0.19%"
"15.05.2025","673.03","674.85","680.05","655.50","217.83K","0.59%"
"14.05.2025","669.10","654.50","670.78","648.58","328.95K","1.72%"
"13.05.2025","657.80","644.49","663.93","635.89","302.26K","2.57%"
"12.05.2025","641.29","633.05","644.07","628.73","480.11K","1.81%"
"09.05.2025","629.89","635.00","650.00","625.15","404.06K","-1.26%"
"08.05.2025","637.96","654.32","661.49","635.27","493.11K","-2.01%"
"07.05.2025","651.07","631.40","653.78","629.69","526.21K","2.48%"
"06.05.2025","635.31","638.00","638.00","626.71","461.15K","0.22%"
"05.05.2025","633.90","616.78","635.05","610.07","301.77K","3.28%"
"02.05.2025","613.77","627.90","641.19","612.00","624.10K","-1.20%"
"30.04.2025","621.21","609.00","623.98","600.12","652.83K","2.00%"
"29.04.2025","609.05","619.55","619.55","605.85","630.52K","-1.23%"
"28.04.2025","616.65","627.52","629.97","612.33","294.35K","-1.77%"
"25.04.2025","627.75","614.04","630.00","603.95","469.04K","2.38%"
"24.04.2025","613.18","596.82","619.89","593.03","777.35K","2.03%"
"23.04.2025","600.99","572.85","605.63","565.04","721.92K","5.97%"
"22.04.2025","567.11","568.11","584.72","565.72","359.94K","-0.68%"
"21.04.2025","570.97","554.01","573.14","554.01","307.76K","0.27%"
"16.04.2025","569.41","555.50","574.00","555.45","296.91K","2.25%"
"15.04.2025","556.87","568.94","571.99","554.40","492.05K","-2.51%"
"14.04.2025","571.22","555.78","573.49","555.73","282.60K","2.77%"
"11.04.2025","555.82","545.07","560.98","542.82","436.60K","2.03%"
"10.04.2025","544.76","547.00","553.66","540.24","648.34K","-0.48%"
"09.04.2025","547.39","523.03","553.54","520.09","853.29K","4.13%"
"08.04.2025","525.69","546.17","558.48","523.07","1.23M","-1.73%"
"07.04.2025","534.94","551.91","558.99","528.84","860.50K","-3.56%"
"04.04.2025","554.69","572.01","572.01","543.08","851.29K","-3.02%"
"03.04.2025","571.96","577.77","589.81","557.62","528.46K","-1.37%"
"02.04.2025","579.89","566.50","581.31","565.02","382.88K","1.85%"
"01.04.2025","569.35","561.95","572.13","557.62","328.54K","1.63%"
"31.03.2025","560.23","565.71","565.72","550.14","628.58K","-0.47%"
"28.03.2025","562.90","571.98","572.52","561.03","296.04K","-1.20%"
"27.03.2025","569.73","565.99","572.31","556.00","507.94K","0.60%"
"26.03.2025","566.33","573.34","575.12","562.58","408.84K","-1.36%"
"25.03.2025","574.15","570.00","579.99","568.90","236.33K","0.48%"
"24.03.2025","571.39","570.20","574.22","565.11","237.37K","0.49%"
"21.03.2025","568.58","579.01","579.01","562.82","1.68M","-2.29%"
"20.03.2025","581.92","577.45","583.48","571.57","314.96K","0.71%"
"19.03.2025","577.84","570.72","580.48","568.74","438.38K","1.28%"
"18.03.2025","570.52","576.30","581.00","550.00","569.52K","-0.30%"
"14.03.2025","572.22","533.00","574.89","525.00","546.97K","10.43%"
"13.03.2025","518.17","523.02","524.83","516.00","259.35K","-0.44%"
"12.03.2025","520.47","520.84","523.12","513.01","720.71K","0.43%"
"11.03.2025","518.25","521.91","523.94","515.63","310.25K","-0.54%"
"10.03.2025","521.04","533.01","538.21","515.49","224.95K","-3.00%"
"07.03.2025","537.17","546.57","550.08","527.98","377.36K","-1.23%"
"06.03.2025","543.86","544.68","549.48","538.96","407.32K","-0.60%"
"05.03.2025","547.12","547.05","549.82","541.48","531.51K","-0.03%"
"04.03.2025","547.26","546.07","552.48","533.50","655.31K","0.23%"
