"Fecha","Cierre","Apertura","Maximo","Minimo","Vol.","% var."
"20.05.2025","207.48","203.20","208.14","203.20","1.75M","0.35%"
"19.05.2025","206.75","201.84","207.13","201.84","1.04M","2.89%"
"16.05.2025","200.95","200.20","202.34","198.62","2.48M","0.49%"
"15.05.2025","199.98","198.58","200.99","196.86","3.28M","0.46%"
"14.05.2025","199.06","197.61","200.24","196.34","3.99M","0.46%"
"13.05.2025","198.15","196.46","199.60","194.06","4.80M","1.07%"
"12.05.2025","196.05","202.80","202.80","192.86","3.19M","-1.40%"
"09.05.2025","198.83","199.55","201.24","198.41","1.03M","-0.33%"
"08.05.2025","199.49","204.43","205.00","198.72","3.07M","-2.14%"
"07.05.2025","203.86","201.52","204.50","201.20","2.59M","1.16%"
"06.05.2025","201.52","197.23","202.32","197.23","2.03M","1.66%"
"05.05.2025","198.22","198.72","199.47","197.00","1.39M","-0.25%"
"02.05.2025","198.72","206.00","206.00","197.55","3.22M","-3.71%"
"30.04.2025","206.37","205.01","208.00","204.10","2.84M","0.16%"
"29.04.2025","206.05","206.86","208.48","204.02","4.01M","-0.89%"
"28.04.2025","207.90","209.80","210.85","204.67","1.44M","0.06%"
"25.04.2025","207.77","209.49","209.49","205.58","1.66M","-0.06%"
"24.04.2025","207.89","209.99","210.00","202.27","3.89M","-0.32%"
"23.04.2025","208.55","208.68","209.87","206.79","6.61M","0.17%"
"22.04.2025","208.19","203.00","209.48","203.00","3.25M","1.11%"
"21.04.2025","205.90","208.00","212.11","203.74","1.07M","-0.81%"
"16.04.2025","207.58","205.80","207.79","202.64","2.25M","1.29%"
"15.04.2025","204.94","200.42","205.48","199.74","2.20M","1.77%"
"14.04.2025","201.38","200.08","203.97","197.62","1.08M","0.83%"
"11.04.2025","199.72","200.48","200.48","197.59","2.57M","1.19%"
"10.04.2025","197.37","197.11","200.98","195.01","2.26M","-0.34%"
"09.04.2025","198.05","194.69","200.00","191.74","2.54M","2.19%"
"08.04.2025","193.81","193.25","198.35","192.25","2.90M","0.92%"
"07.04.2025","192.04","197.78","197.84","190.19","3.17M","-3.40%"
"04.04.2025","198.79","201.00","205.59","197.66","1.55M","-1.93%"
"03.04.2025","202.71","202.95","209.53","200.01","2.04M","-1.06%"
"02.04.2025","204.88","204.00","205.21","202.07","1.93M","0.57%"
"01.04.2025","203.72","198.02","203.99","197.65","1.72M","1.95%"
"31.03.2025","199.83","205.93","205.93","199.17","2.78M","-2.48%"
"28.03.2025","204.91","201.23","205.15","200.01","2.79M","1.44%"
"27.03.2025","202.00","194.79","202.23","194.78","2.25M","3.71%"
"26.03.2025","194.78","195.00","195.80","192.19","1.24M","-0.23%"
"25.03.2025","195.22","194.95","195.98","194.06","2.16M","0.51%"
"24.03.2025","194.22","197.78","198.98","193.42","2.36M","-1.31%"
"21.03.2025","196.79","197.51","199.25","196.30","13.99M","-1.09%"
"20.03.2025","198.96","198.96","199.47","197.51","3.16M","0.03%"
"19.03.2025","198.91","198.22","199.25","197.29","2.86M","0.36%"
"18.03.2025","198.19","198.05","201.00","197.28","3.55M","0.57%"
"14.03.2025","197.07","196.33","199.06","195.71","4.81M","0.48%"
"13.03.2025","196.12","197.48","199.20","195.04","2.63M","-1.04%"
"12.03.2025","198.18","194.61","198.91","194.28","4.17M","1.32%"
"11.03.2025","195.59","197.00","197.00","193.42","2.25M","-0.46%"
"10.03.2025","196.49","198.30","200.99","194.91","2.22M","-1.10%"
"07.03.2025","198.67","197.00","199.90","195.01","3.63M","0.65%"
"06.03.2025","197.38","195.07","197.80","193.65","3.92M","1.69%"
"05.03.2025","194.10","192.55","196.37","192.55","2.72M","0.66%"
"04.03.2025","192.83","190.00","195.94","190.00","2.74M","0.19%"
"03.03.2025","192.46","192.99","195.00","191.71","1.57M","-0.27%"
"28.02.2025","192.99","191.66","194.64","191.00","8.24M","0.69%"
"27.02.2025","191.66","184.94","197.65","184.94","4.11M","5.39%"
"26.02.2025","181.86","181.57","184.49","181.09","2.76M","-0.20%"
"25.02.2025","182.23","183.00","183.55","181.08","2.24M","-0.43%"
"24.02.2025","183.02","182.57","184.63","180.65","1.62M","0.22%"
"21.02.2025","182.62","183.49","184.75","181.52","1.54M","-0.33%"
"20.02.2025","183.23","185.81","186.86","181.02","2.38M","-1.18%"
"19.02.2025","185.42","185.05","187.59","183.95","3.20M","0.43%"
"18.02.2025","184.63","185.65","186.48","181.96","2.46M","-0.60%"
"17.02.2025","185.74","184.20","186.80","183.21","588.97K","0.28%"
"14.02.2025","185.22","183.34","186.82","182.96","2.37M","1.06%"
"13.02.2025","183.27","182.42","183.91","180.47","1.85M","0.44%"
"12.02.2025","182.47","178.50","182.85","177.86","2.09M","1.37%"
