"Fecha","Cierre","Apertura","Maximo","Minimo","Vol.","% var."
"21.05.2025","2.23","2.23","2.23","2.23","2.31K","0.45%"
"20.05.2025","2.22","2.24","2.24","2.22","3.69K","-1.33%"
"19.05.2025","2.25","2.25","2.25","2.25","2.55K","0.90%"
"16.05.2025","2.23","2.22","2.23","2.22","1.37K","0.00%"
"15.05.2025","2.23","2.23","2.23","2.23","0.65K","0.90%"
"14.05.2025","2.21","2.21","2.21","2.20","5.42K","1.38%"
"13.05.2025","2.18","2.18","2.18","2.18","0.48K","-1.36%"
"12.05.2025","2.21","2.20","2.21","2.20","4.59K","0.00%"
"09.05.2025","2.21","2.24","2.24","2.20","11.18K","0.45%"
"08.05.2025","2.20","2.24","2.25","2.20","2.44K","-1.79%"
"07.05.2025","2.24","2.21","2.24","2.21","0.77K","-0.44%"
"06.05.2025","2.25","2.25","2.25","2.25","1.26K","0.00%"
"05.05.2025","2.25","2.24","2.25","2.21","3.48K","0.45%"
"02.05.2025","2.24","2.24","2.24","2.24","1.28K","0.00%"
"30.04.2025","2.24","2.24","2.24","2.24","0.39K","-0.44%"
"29.04.2025","2.25","2.25","2.25","2.25","7.64K","1.81%"
"24.04.2025","2.21","2.21","2.21","2.21","1.15K","0.00%"
"23.04.2025","2.21","2.21","2.21","2.21","0.42K","1.38%"
"21.04.2025","2.18","2.19","2.20","2.18","2.20K","-1.36%"
"16.04.2025","2.21","2.21","2.21","2.21","0.35K","0.00%"
"15.04.2025","2.21","2.20","2.22","2.20","4.44K","-0.90%"
