"Fecha","Cierre","Apertura","Maximo","Minimo","Vol.","% var."
"21.05.2025","9.790","9.850","9.850","9.650","42.78K","-1.61%"
"20.05.2025","9.950","9.970","9.980","9.810","18.04K","-0.10%"
"19.05.2025","9.960","10.090","10.090","9.810","28.55K","-0.50%"
"16.05.2025","10.010","9.910","10.090","9.850","14.02K","2.04%"
"15.05.2025","9.810","9.849","9.849","9.751","77.92K","0.00%"
"14.05.2025","9.810","9.830","9.948","9.682","135.38K","0.20%"
"13.05.2025","9.790","9.859","9.859","9.771","31.79K","-0.70%"
"12.05.2025","9.859","9.899","10.046","9.751","24.40K","-0.20%"
"09.05.2025","9.879","9.849","9.889","9.712","58.85K","-0.71%"
"08.05.2025","9.950","9.990","9.990","9.870","12.08K","0.20%"
"07.05.2025","9.930","10.000","10.000","9.800","67.14K","-0.20%"
"06.05.2025","9.950","10.000","10.000","9.840","41.49K","-0.70%"
"05.05.2025","10.020","10.050","10.050","9.810","73.39K","0.60%"
"02.05.2025","9.960","9.750","9.990","9.750","18.81K","0.50%"
"30.04.2025","9.910","10.100","10.100","9.820","304.16K","-1.88%"
"29.04.2025","10.100","10.000","10.100","9.900","29.98K","0.20%"
"28.04.2025","10.080","10.210","10.300","10.080","8.00K","-1.27%"
"25.04.2025","10.210","10.000","10.350","9.800","38.68K","3.34%"
"24.04.2025","9.880","9.900","10.020","9.650","8.93K","-1.50%"
"23.04.2025","10.030","10.140","10.200","9.980","8.45K","0.30%"
"22.04.2025","10.000","9.550","10.090","9.500","22.24K","3.84%"
"21.04.2025","9.630","9.530","9.630","9.530","12.87K","-0.10%"
