"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"21.05.2025","5.000","5.000","5.000","4.970","21.94K","1.84%"
"20.05.2025","4.910","4.910","4.910","4.890","38.95K","0.60%"
"19.05.2025","4.880","4.880","4.880","4.880","0.85K","-0.60%"
"16.05.2025","4.910","4.861","4.910","4.811","50.78K","0.60%"
"15.05.2025","4.880","4.880","4.880","4.880","1.35K","0.00%"
"14.05.2025","4.880","4.890","4.890","4.870","2.31K","-2.00%"
"13.05.2025","4.980","4.980","4.990","4.980","6.99K","0.61%"
"12.05.2025","4.950","4.820","4.950","4.820","82.86K","1.02%"
"09.05.2025","4.900","4.900","4.900","4.800","209.30K","0.00%"
"08.05.2025","4.900","4.910","4.910","4.800","274.23K","1.03%"
"07.05.2025","4.850","4.930","4.930","4.800","1.49K","1.04%"
"06.05.2025","4.800","4.810","4.930","4.800","3.02M","0.00%"
"05.05.2025","4.800","4.880","4.900","4.710","332.56K","0.00%"
"02.05.2025","4.800","4.830","4.880","4.800","129.72K","1.27%"
"30.04.2025","4.740","4.740","4.740","4.740","1.89M","0.00%"
"29.04.2025","4.740","4.730","4.740","4.730","1.55K","0.00%"
"28.04.2025","4.740","4.740","4.740","4.710","11.65K","0.00%"
"25.04.2025","4.740","4.750","4.750","4.700","22.07K","0.21%"
"24.04.2025","4.730","4.750","4.750","4.730","2.82K","-0.42%"
"23.04.2025","4.750","4.800","4.800","4.730","53.97K","-1.04%"
"22.04.2025","4.800","4.800","4.830","4.800","2.80K","-0.41%"
"21.04.2025","4.820","4.810","4.820","4.810","1.15K","1.69%"
"16.04.2025","4.740","4.740","4.740","4.720","6.58K","0.64%"
"15.04.2025","4.710","4.740","4.740","4.710","2.94K","-0.63%"
"14.04.2025","4.740","4.740","4.750","4.720","52.87K","0.00%"
"11.04.2025","4.740","4.790","4.830","4.710","120.44K","-1.04%"
"10.04.2025","4.790","4.800","4.800","4.790","11.25K","-0.83%"
"08.04.2025","4.830","4.830","4.830","4.730","41.17K","0.00%"
"07.04.2025","4.830","4.850","4.850","4.830","1.65K","-0.82%"
"04.04.2025","4.870","4.870","4.870","4.870","1.09K","-0.61%"
"03.04.2025","4.900","4.880","4.900","4.880","102.89K","0.41%"
"02.04.2025","4.880","4.880","4.880","4.880","0.73K","-0.61%"
"01.04.2025","4.910","4.900","4.910","4.900","515.17K","2.29%"
"31.03.2025","4.800","4.800","4.800","4.800","0.35K","0.00%"
"28.03.2025","4.800","4.870","4.900","4.800","3.92K","-1.44%"
"27.03.2025","4.870","4.870","4.870","4.870","1.36K","-0.20%"
"26.03.2025","4.880","4.890","4.890","4.880","23.92K","1.88%"
"25.03.2025","4.790","4.849","4.849","4.790","2.45K","-1.21%"
"24.03.2025","4.849","4.849","4.849","4.849","3.33K","0.00%"
"21.03.2025","4.849","4.770","4.849","4.761","6.14K","1.65%"
"20.03.2025","4.770","4.751","4.770","4.751","29.43K","0.21%"
"19.03.2025","4.761","4.829","4.829","4.711","21.96K","-3.24%"
"18.03.2025","4.920","4.950","4.960","4.850","5.70K","-1.20%"
"13.03.2025","4.980","5.000","5.000","4.980","2.45K","2.68%"
"12.03.2025","4.850","4.910","4.910","4.850","1.97K","-1.42%"
"11.03.2025","4.920","4.920","4.920","4.920","0.81K","0.41%"
"10.03.2025","4.900","4.980","4.980","4.900","3.35K","-1.80%"
"07.03.2025","4.990","4.900","4.990","4.890","55.14K","-0.20%"
"05.03.2025","5.000","4.810","5.000","4.800","8.26K","4.38%"
"04.03.2025","4.790","4.810","4.830","4.710","8.84K","-0.21%"
"03.03.2025","4.800","4.830","4.890","4.800","50.57K","-2.04%"
"28.02.2025","4.900","4.900","4.900","4.850","2.24K","0.00%"
"27.02.2025","4.900","4.890","4.970","4.880","9.13K","-1.80%"
"25.02.2025","4.990","4.850","4.990","4.850","4.31K","0.81%"
"24.02.2025","4.950","4.950","4.950","4.950","1.65K","0.00%"
"21.02.2025","4.950","4.860","4.950","4.860","2.40K","1.85%"
"20.02.2025","4.860","4.950","4.950","4.860","8.54K","-2.02%"
"19.02.2025","4.960","5.090","5.090","4.950","3.61K","-0.80%"
"18.02.2025","5.000","5.240","5.240","4.950","26.83K","-2.72%"
"17.02.2025","5.140","5.110","5.180","5.100","2.08K","2.59%"
"14.02.2025","5.010","4.990","5.010","4.990","1.37K","0.00%"
"13.02.2025","5.010","5.010","5.010","4.980","3.72K","0.40%"
"12.02.2025","4.990","4.980","4.990","4.900","5.17K","0.20%"
"11.02.2025","4.980","4.950","4.980","4.950","1.78K","0.61%"
"10.02.2025","4.950","4.990","4.990","4.950","2.86K","-0.60%"
"07.02.2025","4.980","5.000","5.000","4.950","154.79K","-0.40%"
"06.02.2025","5.000","4.950","5.000","4.950","7.06K","0.81%"
"05.02.2025","4.960","4.960","5.020","4.950","5.06K","0.20%"
"04.02.2025","4.950","4.960","5.050","4.950","5.83K","-1.98%"
"31.01.2025","5.050","5.030","5.060","4.950","2.58K","0.80%"
"30.01.2025","5.010","5.010","5.020","4.950","7.48K","0.40%"
"29.01.2025","4.990","5.030","5.030","4.950","1.66K","0.00%"
"28.01.2025","4.990","4.980","4.990","4.950","1.84K","0.40%"
"27.01.2025","4.970","4.890","4.980","4.890","10.53K","1.02%"
"24.01.2025","4.920","4.950","4.950","4.850","35.41K","-0.20%"
"23.01.2025","4.930","4.940","4.960","4.920","5.42K","-1.40%"
"22.01.2025","5.000","4.980","5.080","4.910","466.43K","1.83%"
"21.01.2025","4.910","4.990","4.990","4.910","2.54K","-1.60%"
"20.01.2025","4.990","4.980","4.990","4.980","1.90K","1.63%"
"17.01.2025","4.910","4.900","4.990","4.900","1.90K","-0.20%"
"16.01.2025","4.920","5.110","5.110","4.860","38.57K","-1.80%"
"15.01.2025","5.010","5.020","5.120","5.010","32.46K","0.00%"
"14.01.2025","5.010","5.140","5.140","5.010","57.98K","-2.15%"
"13.01.2025","5.120","5.390","5.390","5.120","15.26K","-5.19%"
"10.01.2025","5.400","5.280","5.400","5.200","3.85K","2.47%"
"09.01.2025","5.270","5.250","5.270","5.250","1.29K","0.00%"
"08.01.2025","5.270","5.300","5.400","5.270","6.75K","-1.50%"
"07.01.2025","5.350","5.250","5.470","5.250","3.11K","-0.19%"
"06.01.2025","5.360","5.450","5.490","5.360","3.33K","0.19%"
"03.01.2025","5.350","5.370","5.450","5.350","1.73K","-2.01%"
"02.01.2025","5.460","5.390","5.500","5.380","25.31K","-0.73%"
"31.12.2024","5.500","5.480","5.500","5.370","463.25K","0.36%"
"30.12.2024","5.480","5.200","5.500","5.200","468.44K","4.78%"
"27.12.2024","5.230","5.400","5.400","5.200","2.56K","-2.79%"
"26.12.2024","5.380","5.390","5.390","5.380","1.72K","-0.37%"
"23.12.2024","5.400","5.170","5.450","5.170","230.25K","6.72%"
"20.12.2024","5.060","5.030","5.270","5.030","431.54K","-1.36%"
"19.12.2024","5.130","5.100","5.130","5.100","23.67K","-1.35%"
"18.12.2024","5.200","5.290","5.290","5.200","0.84K","0.00%"
"17.12.2024","5.200","5.140","5.370","5.140","77.10K","0.19%"
"16.12.2024","5.190","5.330","5.330","5.150","19.20K","-2.63%"
"13.12.2024","5.330","5.210","5.330","5.210","4.31K","0.19%"
"11.12.2024","5.320","5.320","5.320","5.320","0.81K","-0.37%"
"10.12.2024","5.340","5.250","5.340","5.250","26.73K","2.30%"
"09.12.2024","5.220","5.350","5.350","5.220","2.70K","-2.43%"
"06.12.2024","5.350","5.140","5.350","5.140","82.14K","1.90%"
"05.12.2024","5.250","5.250","5.250","5.250","0.76K","0.00%"
"04.12.2024","5.250","5.180","5.250","5.180","4.21K","0.00%"
"03.12.2024","5.250","5.240","5.250","5.210","35.83K","-2.42%"
"02.12.2024","5.380","5.380","5.380","5.380","2.15K","0.00%"
"29.11.2024","5.380","5.340","5.380","5.340","2.26K","0.00%"
"28.11.2024","5.380","5.300","5.400","5.190","22.61K","1.51%"
"27.11.2024","5.300","5.150","5.300","5.000","111.59K","2.91%"
"26.11.2024","5.150","4.840","5.150","4.830","38.81K","4.25%"
"25.11.2024","4.940","4.700","4.950","4.630","156.99K","4.44%"
"22.11.2024","4.730","4.700","4.800","4.700","35.73K","0.21%"
"21.11.2024","4.720","4.830","4.830","4.700","7.72K","-0.94%"
