"Fecha","Cierre","Apertura","Maximo","Minimo","Vol.","% var."
"21.05.2025","13.070","12.920","13.090","12.900","4.56M","0.62%"
"20.05.2025","12.990","12.800","13.000","12.800","1.06M","1.01%"
"19.05.2025","12.860","12.830","12.990","12.750","4.10M","0.70%"
"16.05.2025","12.770","12.670","12.840","12.600","2.04M","0.95%"
"15.05.2025","12.650","12.750","12.750","12.590","1.24M","-0.32%"
"14.05.2025","12.690","12.680","12.790","12.530","961.52K","-0.47%"
"13.05.2025","12.750","12.650","12.800","12.490","2.08M","1.27%"
"12.05.2025","12.590","12.680","12.750","12.520","713.89K","-1.25%"
"09.05.2025","12.750","12.630","12.900","12.250","2.69M","0.39%"
"08.05.2025","12.700","12.300","12.990","12.170","4.56M","3.25%"
"07.05.2025","12.300","12.180","12.470","12.120","3.17M","0.99%"
"06.05.2025","12.180","12.120","12.370","12.000","1.07M","-1.62%"
"05.05.2025","12.380","12.420","12.500","12.250","660.09K","1.14%"
"02.05.2025","12.240","12.150","12.440","12.000","1.09M","1.75%"
"30.04.2025","12.030","12.000","12.100","11.860","2.91M","0.33%"
"29.04.2025","11.990","12.240","12.240","11.950","831.50K","-1.00%"
"28.04.2025","12.111","12.111","12.160","12.091","923.74K","0.08%"
"25.04.2025","12.101","11.922","12.111","11.922","935.81K","1.08%"
"24.04.2025","11.972","11.614","12.111","11.605","1.54M","2.99%"
"23.04.2025","11.624","11.714","11.753","11.565","2.30M","-0.34%"
"22.04.2025","11.664","11.843","11.922","11.644","1.92M","-2.31%"
"21.04.2025","11.940","11.950","12.150","11.910","1.14M","-0.42%"
"16.04.2025","11.990","11.950","12.010","11.880","1.11M","0.50%"
"15.04.2025","11.930","12.000","12.000","11.890","690.20K","0.00%"
"14.04.2025","11.930","11.920","12.000","11.900","1.65M","-0.33%"
"11.04.2025","11.970","12.000","12.080","11.900","985.25K","-0.42%"
"10.04.2025","12.020","11.750","12.150","11.750","1.77M","0.84%"
"09.04.2025","11.920","11.810","12.000","11.750","690.90K","0.08%"
"08.04.2025","11.910","12.100","12.120","11.800","1.30M","-1.49%"
"07.04.2025","12.090","11.920","12.150","11.800","1.10M","1.43%"
"04.04.2025","11.920","12.170","12.200","11.850","1.73M","-2.53%"
"03.04.2025","12.230","12.020","12.250","11.920","2.50M","1.66%"
"02.04.2025","12.030","11.880","12.090","11.880","1.72M","1.18%"
"01.04.2025","11.890","11.780","12.120","11.750","6.20M","1.02%"
"31.03.2025","11.770","11.940","11.950","11.750","964.47K","-1.34%"
"28.03.2025","11.930","12.000","12.070","11.840","1.86M","0.68%"
"27.03.2025","11.850","11.970","12.090","11.840","2.21M","-0.59%"
"26.03.2025","11.920","11.910","12.000","11.850","2.99M","0.08%"
"25.03.2025","11.910","11.800","12.100","11.700","1.57M","0.93%"
"24.03.2025","11.800","11.850","11.990","11.780","1.19M","-1.58%"
"21.03.2025","11.990","11.890","12.200","11.800","64.19M","-0.66%"
"20.03.2025","12.070","11.890","12.200","11.890","9.18M","-0.08%"
"19.03.2025","12.080","11.800","12.150","11.800","9.55M","1.34%"
"18.03.2025","11.920","11.510","12.250","11.510","9.57M","3.11%"
"14.03.2025","11.560","11.260","11.600","11.110","1.39M","2.30%"
"13.03.2025","11.300","11.000","11.310","10.950","5.09M","2.17%"
"12.03.2025","11.060","11.040","11.140","10.950","2.37M","0.55%"
"11.03.2025","11.000","10.840","11.150","10.830","1.90M","-0.10%"
"10.03.2025","11.011","11.110","11.140","10.981","1.77M","-0.90%"
"07.03.2025","11.110","11.070","11.249","11.001","1.04M","1.09%"
"06.03.2025","10.991","10.951","11.120","10.951","1.49M","0.36%"
"05.03.2025","10.951","11.130","11.130","10.901","961.82K","-0.63%"
"04.03.2025","11.020","11.110","11.289","10.881","1.65M","-1.52%"
"03.03.2025","11.190","11.200","11.340","11.030","2.84M","0.27%"
"28.02.2025","11.160","11.100","11.290","10.940","3.84M","1.27%"
"27.02.2025","11.020","10.880","11.200","10.800","645.11K","0.82%"
"26.02.2025","10.931","10.881","11.000","10.781","830.05K","-0.09%"
"25.02.2025","10.940","11.120","11.120","10.811","1.28M","-2.14%"
"24.02.2025","11.179","10.911","11.299","10.901","1.67M","1.91%"
"21.02.2025","10.970","10.861","11.040","10.851","1.60M","1.38%"
"20.02.2025","10.821","10.652","10.851","10.602","14.44M","1.97%"
"19.02.2025","10.612","10.672","10.702","10.552","1.01M","-0.56%"
"18.02.2025","10.672","10.662","10.791","10.622","1.22M","-0.09%"
"17.02.2025","10.682","10.672","10.741","10.622","462.14K","0.09%"
"14.02.2025","10.672","10.702","10.751","10.602","661.57K","0.19%"
"13.02.2025","10.652","10.672","10.801","10.592","987.26K","-0.28%"
"12.02.2025","10.682","10.642","10.702","10.502","1.51M","0.56%"
"11.02.2025","10.622","10.741","10.741","10.552","720.94K","-0.74%"
"10.02.2025","10.702","10.801","10.801","10.652","731.63K","-0.46%"
"07.02.2025","10.751","10.522","10.821","10.512","813.84K","1.60%"
"06.02.2025","10.582","10.592","10.721","10.532","1.03M","-0.19%"
"05.02.2025","10.602","10.702","10.791","10.592","1.06M","-0.93%"
"04.02.2025","10.702","10.602","10.731","10.502","8.85M","0.94%"
"31.01.2025","10.602","10.612","10.931","10.473","1.09M","0.00%"
"30.01.2025","10.602","10.592","10.672","10.473","1.63M","0.04%"
"29.01.2025","10.597","10.578","10.696","10.518","1.15M","0.66%"
"28.01.2025","10.528","10.449","10.558","10.399","831.77K","0.95%"
"27.01.2025","10.429","10.370","10.528","10.310","971.06K","0.86%"
"24.01.2025","10.340","10.370","10.498","10.290","1.48M","0.00%"
"23.01.2025","10.340","10.350","10.419","10.251","1.14M","-0.38%"
"22.01.2025","10.379","10.300","10.488","10.221","1.49M","1.16%"
"21.01.2025","10.261","10.290","10.360","10.201","928.95K","0.19%"
"20.01.2025","10.241","10.290","10.409","10.221","731.88K","0.00%"
"17.01.2025","10.241","10.419","10.469","10.211","772.11K","-1.24%"
"16.01.2025","10.370","10.607","10.617","10.350","1.70M","-1.78%"
"15.01.2025","10.558","10.558","10.637","10.488","857.28K","0.00%"
"14.01.2025","10.558","10.627","10.687","10.538","575.30K","-0.09%"
"13.01.2025","10.568","10.706","10.845","10.548","661.79K","-1.48%"
"10.01.2025","10.726","10.776","10.924","10.706","1.75M","-0.18%"
"09.01.2025","10.746","10.786","10.894","10.696","315.11K","-0.28%"
"08.01.2025","10.776","10.904","10.914","10.706","463.79K","-0.82%"
"07.01.2025","10.865","10.924","10.994","10.597","901.82K","-0.09%"
"06.01.2025","10.875","10.825","10.974","10.795","3.29M","0.92%"
"03.01.2025","10.776","10.855","10.954","10.647","817.62K","-1.27%"
