"Fecha","Cierre","Apertura","Maximo","Minimo","Vol.","% var."
"21.05.2025","25.00","25.06","25.06","24.55","4.84M","0.24%"
"20.05.2025","24.94","24.79","25.02","24.69","6.20M","0.73%"
"19.05.2025","24.76","24.93","25.04","24.41","5.80M","-0.52%"
"16.05.2025","24.89","24.53","25.00","24.09","6.97M","1.55%"
"15.05.2025","24.51","24.55","24.60","23.80","4.84M","-0.08%"
"14.05.2025","24.53","25.09","25.09","24.37","6.35M","-1.76%"
"13.05.2025","24.97","24.72","25.09","24.20","11.88M","1.50%"
"12.05.2025","24.60","24.90","24.98","24.29","4.44M","-1.72%"
"09.05.2025","25.03","25.03","25.26","24.87","16.93M","0.48%"
"08.05.2025","24.91","25.78","25.88","24.82","7.78M","-3.86%"
"07.05.2025","25.91","25.44","25.99","25.39","7.31M","0.66%"
"06.05.2025","25.74","25.19","25.91","25.15","4.32M","3.88%"
"05.05.2025","24.78","24.80","25.00","24.46","2.93M","0.40%"
"02.05.2025","24.68","24.90","25.13","24.35","6.23M","-2.41%"
"30.04.2025","25.29","25.00","25.41","24.51","10.34M","1.32%"
"29.04.2025","24.96","25.90","25.90","24.73","9.95M","-3.44%"
"28.04.2025","25.85","25.79","26.55","25.72","5.42M","0.82%"
"25.04.2025","25.64","25.93","26.97","25.09","5.84M","-1.65%"
"24.04.2025","26.07","25.50","26.65","25.12","8.32M","2.08%"
"23.04.2025","25.54","24.21","25.58","24.21","7.57M","5.62%"
"22.04.2025","24.18","24.41","24.50","23.89","5.12M","-0.82%"
"21.04.2025","24.38","24.16","24.45","24.02","1.88M","0.37%"
"16.04.2025","24.29","24.34","24.73","24.10","4.53M","-0.21%"
"15.04.2025","24.34","24.40","24.60","24.24","6.35M","-0.16%"
"14.04.2025","24.38","23.39","24.68","23.39","4.58M","5.22%"
"11.04.2025","23.17","22.98","23.65","22.65","3.02M","0.30%"
"10.04.2025","23.10","23.89","23.99","22.88","9.70M","-3.83%"
"09.04.2025","24.02","21.81","24.26","21.27","8.54M","9.58%"
"08.04.2025","21.92","22.68","22.90","21.83","8.87M","-1.84%"
"07.04.2025","22.33","23.81","23.89","22.21","10.37M","-8.33%"
"04.04.2025","24.36","25.37","25.37","24.08","6.72M","-3.98%"
"03.04.2025","25.37","24.38","26.37","24.26","12.45M","4.45%"
"02.04.2025","24.29","24.32","24.39","23.98","6.45M","-0.12%"
"01.04.2025","24.32","23.96","24.45","23.75","7.74M","1.71%"
"31.03.2025","23.91","24.54","24.54","23.70","6.06M","-2.13%"
"28.03.2025","24.43","24.27","24.66","23.79","6.82M","1.16%"
"27.03.2025","24.15","24.35","24.45","24.01","3.57M","-0.49%"
"26.03.2025","24.27","24.37","24.49","23.89","5.75M","-0.29%"
"25.03.2025","24.34","23.53","24.43","23.53","8.16M","3.44%"
"24.03.2025","23.53","24.13","24.13","23.47","4.93M","-2.61%"
"21.03.2025","24.16","23.75","24.24","23.61","17.46M","1.77%"
"20.03.2025","23.74","23.82","23.94","23.55","6.45M","-0.13%"
"19.03.2025","23.77","23.62","24.14","23.62","5.67M","1.11%"
"18.03.2025","23.51","23.55","24.18","23.37","8.03M","-0.68%"
"14.03.2025","23.67","22.93","23.77","22.79","7.32M","3.91%"
"13.03.2025","22.78","22.89","22.99","22.64","4.46M","-0.52%"
"12.03.2025","22.90","22.34","22.98","22.34","6.12M","2.46%"
"11.03.2025","22.35","21.91","22.60","21.91","7.02M","1.96%"
"10.03.2025","21.92","22.76","22.81","21.63","5.65M","-3.82%"
"07.03.2025","22.79","22.57","22.99","22.30","6.48M","0.44%"
"06.03.2025","22.69","22.82","23.15","22.31","6.07M","-0.04%"
"05.03.2025","22.70","22.70","23.17","22.50","3.51M","0.80%"
"04.03.2025","22.52","23.00","23.00","22.17","15.39M","-2.26%"
"03.03.2025","23.04","22.40","23.56","22.40","7.91M","3.36%"
"28.02.2025","22.29","22.67","22.75","22.22","23.44M","-1.20%"
"27.02.2025","22.56","22.35","22.88","22.35","4.57M","0.94%"
"26.02.2025","22.35","22.37","22.51","22.01","6.93M","0.59%"
"25.02.2025","22.22","22.44","22.44","22.06","4.94M","-0.22%"
"24.02.2025","22.27","22.19","22.73","21.63","62.24M","0.09%"
"21.02.2025","22.25","22.65","22.65","22.12","4.58M","-1.37%"
"20.02.2025","22.56","22.42","22.72","22.27","5.72M","0.58%"
"19.02.2025","22.43","22.74","23.05","22.33","18.70M","-1.36%"
"18.02.2025","22.74","22.54","23.08","22.43","9.22M","0.75%"
"17.02.2025","22.57","22.66","22.70","22.40","1.22M","-0.40%"
"14.02.2025","22.66","22.09","23.01","22.09","17.34M","2.21%"
"13.02.2025","22.17","22.00","22.60","21.98","31.52M","0.59%"
"12.02.2025","22.04","21.45","22.32","21.45","12.69M","1.75%"
"11.02.2025","21.66","22.05","22.05","21.56","17.80M","-1.32%"
"10.02.2025","21.95","22.35","22.41","21.80","6.49M","-0.72%"
"07.02.2025","22.11","22.00","22.25","21.62","22.42M","1.20%"
"06.02.2025","21.85","22.10","22.37","21.74","24.98M","0.27%"
"05.02.2025","21.79","22.29","22.30","21.70","20.85M","-1.72%"
"04.02.2025","22.17","21.33","22.44","21.10","29.17M","5.54%"
"31.01.2025","21.01","21.32","21.32","20.78","8.37M","-0.65%"
"30.01.2025","21.14","21.39","21.60","21.03","4.80M","-0.69%"
"29.01.2025","21.29","20.96","21.52","20.94","3.74M","1.11%"
"28.01.2025","21.06","20.77","21.17","20.68","5.92M","1.65%"
"27.01.2025","20.71","20.68","20.93","20.58","1.91M","-0.24%"
"24.01.2025","20.76","20.93","21.03","20.63","3.57M","-0.33%"
"23.01.2025","20.83","20.99","20.99","20.61","6.31M","-0.28%"
"22.01.2025","20.89","20.29","21.07","20.13","7.99M","3.64%"
"21.01.2025","20.16","20.15","20.62","20.13","4.42M","0.15%"
"20.01.2025","20.13","20.01","20.24","20.01","1.60M","0.19%"
"17.01.2025","20.09","20.15","20.40","19.92","5.22M","-0.39%"
"16.01.2025","20.17","20.37","20.46","19.94","9.30M","-0.87%"
"15.01.2025","20.34","19.71","20.40","19.71","5.66M","3.43%"
"14.01.2025","19.67","19.85","19.96","19.56","4.31M","-0.69%"
"13.01.2025","19.80","19.81","19.87","19.39","7.59M","0.45%"
"10.01.2025","19.72","20.14","20.20","19.66","4.05M","-2.04%"
"09.01.2025","20.13","20.22","20.29","20.02","2.24M","0.05%"
"08.01.2025","20.12","20.34","20.34","19.86","6.54M","-0.44%"
"07.01.2025","20.21","20.19","20.53","20.09","6.29M","-0.43%"
"06.01.2025","20.29","20.40","20.59","20.15","7.37M","-0.48%"
