"Fecha","Cierre","Apertura","Maximo","Minimo","Vol.","% var."
"20.05.2025","38.720","38.990","39.540","38.530","6.66M","-1.90%"
"19.05.2025","39.470","38.160","39.950","37.190","3.45M","3.81%"
"16.05.2025","38.020","38.220","38.550","37.810","3.48M","-0.31%"
"15.05.2025","38.140","37.770","38.610","36.720","6.33M","-0.08%"
"14.05.2025","38.170","38.090","38.500","37.890","3.84M","0.21%"
"13.05.2025","38.090","37.360","38.420","37.170","4.39M","3.09%"
"12.05.2025","36.950","37.560","37.770","36.400","2.40M","0.11%"
"09.05.2025","36.910","37.520","38.260","36.770","3.45M","-1.52%"
"08.05.2025","37.480","38.020","39.030","37.160","5.36M","-1.94%"
"07.05.2025","38.220","36.000","38.730","36.000","8.18M","5.20%"
"06.05.2025","36.330","34.880","36.540","34.570","3.90M","4.61%"
"05.05.2025","34.730","35.140","35.150","34.110","2.14M","-0.83%"
"02.05.2025","35.020","34.060","35.240","33.700","4.95M","2.28%"
"30.04.2025","34.240","33.770","34.510","32.800","6.73M","0.79%"
"29.04.2025","33.970","34.340","35.010","33.770","4.67M","-0.59%"
"28.04.2025","34.170","34.130","34.580","33.560","3.56M","0.50%"
"25.04.2025","34.000","34.730","35.000","33.610","5.53M","-2.61%"
"24.04.2025","34.910","34.000","36.990","34.000","9.68M","2.77%"
"23.04.2025","33.970","32.400","34.440","32.360","7.63M","4.81%"
"22.04.2025","32.410","31.160","32.650","30.970","3.74M","4.35%"
"21.04.2025","31.060","30.750","31.250","30.630","2.52M","0.65%"
"16.04.2025","30.860","30.640","31.300","30.540","2.20M","0.78%"
"15.04.2025","30.620","31.000","31.000","30.350","2.82M","-0.26%"
"14.04.2025","30.700","30.610","31.400","30.130","3.46M","1.09%"
"11.04.2025","30.370","30.830","30.990","30.040","2.64M","-2.00%"
"10.04.2025","30.990","31.730","31.760","30.720","7.39M","-1.37%"
"09.04.2025","31.420","29.330","31.960","28.910","5.36M","6.69%"
"08.04.2025","29.450","30.120","30.500","28.950","7.06M","0.00%"
"07.04.2025","29.450","31.250","31.300","28.770","4.66M","-5.76%"
"04.04.2025","31.250","32.930","32.990","30.690","5.47M","-5.76%"
"03.04.2025","33.160","32.800","33.930","32.440","6.78M","0.91%"
"02.04.2025","32.860","33.150","33.300","32.600","4.25M","-0.54%"
"01.04.2025","33.040","31.710","33.470","31.390","12.19M","4.79%"
"31.03.2025","31.530","32.180","32.270","31.040","5.61M","-3.01%"
"28.03.2025","32.510","31.720","32.650","30.800","10.32M","2.20%"
