"Fecha","Cierre","Apertura","Maximo","Minimo","Vol.","% var."
"20.05.2025","369.78","361.48","370.22","360.32","538.49K","1.77%"
"19.05.2025","363.34","359.74","365.00","358.54","1.05M","1.00%"
"16.05.2025","359.73","352.39","361.59","352.39","614.16K","0.83%"
"15.05.2025","356.77","350.06","357.41","350.06","864.60K","0.59%"
"14.05.2025","354.67","355.09","356.10","350.01","311.34K","-0.12%"
"13.05.2025","355.09","354.00","357.83","353.00","1.16M","0.19%"
"12.05.2025","354.41","370.63","370.63","349.25","930.90K","-4.38%"
"09.05.2025","370.63","360.10","373.13","360.10","214.17K","0.38%"
"08.05.2025","369.22","370.21","374.94","368.00","764.73K","-0.76%"
"07.05.2025","372.04","375.00","375.72","369.02","457.14K","-0.04%"
"06.05.2025","372.20","365.42","379.88","365.42","391.71K","0.45%"
"05.05.2025","370.54","370.65","373.39","367.92","235.34K","-0.53%"
"02.05.2025","372.53","377.05","381.26","371.19","284.81K","-0.60%"
"30.04.2025","374.76","366.16","376.41","364.77","1.03M","2.32%"
"29.04.2025","366.28","371.32","377.49","365.01","315.52K","-1.75%"
"28.04.2025","372.80","380.65","381.56","370.20","348.43K","-2.10%"
"25.04.2025","380.80","394.73","394.73","376.70","356.08K","-3.17%"
"24.04.2025","393.28","382.01","397.69","382.00","663.52K","2.40%"
"23.04.2025","384.08","382.05","389.70","381.95","345.29K","0.97%"
"22.04.2025","380.40","378.00","385.98","375.01","572.63K","1.03%"
"21.04.2025","376.51","373.47","377.99","370.00","233.86K","1.32%"
"16.04.2025","371.62","374.21","378.06","370.76","437.96K","-0.07%"
"15.04.2025","371.89","370.95","375.99","369.02","591.06K","0.05%"
"14.04.2025","371.70","367.20","372.50","365.00","357.47K","1.21%"
"11.04.2025","367.24","373.00","373.00","365.91","393.93K","0.10%"
"10.04.2025","366.88","366.00","372.22","365.75","428.13K","0.75%"
"09.04.2025","364.16","363.63","374.27","362.31","1.39M","-0.36%"
"08.04.2025","365.47","364.32","368.84","362.30","446.63K","1.38%"
"07.04.2025","360.48","362.51","369.94","353.96","452.58K","-1.06%"
"04.04.2025","364.34","380.95","380.95","360.00","469.56K","-4.57%"
"03.04.2025","381.78","377.15","394.17","377.01","315.45K","0.05%"
"02.04.2025","381.58","381.99","384.00","375.03","334.04K","0.80%"
"01.04.2025","378.56","367.68","380.75","365.01","283.74K","2.45%"
"31.03.2025","369.52","364.00","371.01","358.01","717.66K","0.04%"
"28.03.2025","369.38","366.19","373.71","365.02","342.96K","-0.74%"
"27.03.2025","372.15","365.00","377.31","362.25","349.44K","0.91%"
"26.03.2025","368.81","369.99","372.05","364.93","278.39K","0.19%"
"25.03.2025","368.12","368.51","372.57","363.49","473.48K","0.48%"
"24.03.2025","366.36","366.30","371.26","361.51","212.02K","0.01%"
"21.03.2025","366.34","360.05","369.19","360.05","1.52M","0.04%"
"20.03.2025","366.20","367.27","368.19","362.01","363.61K","-0.21%"
"19.03.2025","366.98","369.74","370.00","362.05","441.03K","0.25%"
"18.03.2025","366.07","368.50","384.40","364.24","729.17K","0.43%"
"14.03.2025","364.49","364.92","368.96","361.31","536.18K","-0.12%"
