"Fecha","Cierre","Apertura","Maximo","Minimo","Vol.","% var."
"20.05.2025","65.500","64.670","66.230","64.750","30.17M","0.78%"
"19.05.2025","64.990","64.410","65.440","63.210","35.16M","1.18%"
"16.05.2025","64.230","64.010","64.850","63.920","9.28M","0.52%"
"15.05.2025","63.900","64.510","64.960","63.140","21.77M","-1.71%"
"14.05.2025","65.010","63.890","65.100","63.450","19.47M","1.82%"
"13.05.2025","63.850","63.490","65.000","62.840","20.84M","0.74%"
"12.05.2025","63.380","62.590","63.790","60.680","17.05M","2.00%"
"09.05.2025","62.140","62.840","63.410","61.880","40.77M","-1.60%"
"08.05.2025","63.150","65.000","65.540","62.940","16.05M","-3.34%"
"07.05.2025","65.330","64.110","65.680","63.710","21.94M","1.49%"
"06.05.2025","64.370","61.360","64.580","60.610","10.22M","5.16%"
"05.05.2025","61.210","60.420","61.310","60.130","7.56M","0.71%"
"02.05.2025","60.780","62.130","62.390","60.510","20.30M","-2.20%"
"30.04.2025","62.150","59.990","62.440","59.610","24.00M","4.07%"
"29.04.2025","59.720","62.530","62.690","59.520","10.27M","-4.06%"
"28.04.2025","62.250","61.410","62.560","61.160","16.22M","1.87%"
"25.04.2025","61.110","62.510","62.890","60.730","14.12M","-2.29%"
"24.04.2025","62.540","62.070","63.000","61.510","43.17M","0.58%"
"23.04.2025","62.180","63.570","64.240","61.710","25.36M","-2.09%"
"22.04.2025","63.510","60.550","63.770","60.410","64.12M","4.47%"
"21.04.2025","60.790","59.240","61.180","59.240","21.48M","3.24%"
"16.04.2025","58.880","57.380","59.120","57.200","19.16M","3.14%"
"15.04.2025","57.090","56.660","57.750","56.340","14.09M","0.87%"
"14.04.2025","56.600","55.980","56.930","55.840","19.43M","1.69%"
"11.04.2025","55.660","56.380","57.500","55.520","26.24M","-0.91%"
"10.04.2025","56.170","57.610","58.000","55.710","23.18M","-3.04%"
"09.04.2025","57.930","56.170","58.500","54.560","32.10M","2.84%"
"08.04.2025","56.330","57.390","57.580","56.020","25.50M","-1.09%"
"07.04.2025","56.950","56.000","57.360","54.690","24.38M","0.26%"
"04.04.2025","56.800","58.900","59.060","56.000","16.78M","-4.34%"
"03.04.2025","59.380","57.210","60.500","57.110","27.33M","2.57%"
"02.04.2025","57.890","56.880","57.990","56.800","21.63M","1.17%"
"01.04.2025","57.220","56.400","57.410","56.100","22.99M","1.53%"
"31.03.2025","56.360","56.750","57.350","56.030","28.71M","-1.61%"
"28.03.2025","57.280","58.010","58.040","56.790","16.41M","-1.90%"
